pagen,neume,id,ulx,uly,lrx,lry
16,Tractulus Simple,m-25f1900c-2711-44f4-bc9d-4dff9a02bea9,2662,3589,2690,3601
16,Tractulus Episema,m-6297a2a8-ce08-4a86-9f9e-406f29420b6a,2986,2865,3022,2885
16,Pes Rotundus Episema,m-68a28a7d-e934-4c49-bf48-05c645a78ca7,1987,2448,2073,2528
16,Quilismatorculus Simple three,m-489272e9-2da7-43d0-ac7a-b8840365c72d,2192,1728,2307,1814
16,Oriscus Oriscus in Salicus b,m-73c702ab-956f-43d7-a220-bb0582208bcd,2487,3182,2519,3210
16,Punctum Simple,m-7e15987a-54c2-4fcb-b2d6-ed597a027834,3964,6053,3985,6067
16,Punctum Simple,m-b160401b-e4a0-423b-be82-06f9677944ed,4056,5673,4073,5689
16,Quilismapes Episema three,m-3aae2b6f-1f4f-44cf-ae8c-bc5f694e0cc4,2006,3490,2132,3561
16,Virga Episema,m-ca73a73c-2bb8-420d-9428-8b413650a9bc,3102,1041,3145,1101
16,Clivis Episema c,m-14ad4a6f-287e-48b2-a653-66a1e9cc7187,3273,5636,3340,5705
16,Torculus Simple,m-80950d77-6e96-4d96-8fe2-c716ca4792ef,5048,4212,5112,4263
16,Punctum Simple,m-bc9516c1-701e-4a7e-8782-b8e18cac378f,5323,2491,5337,2505
16,Quilismapes Episema three,m-62efe033-a51b-4cae-8783-5ea96ccf1320,1438,5259,1560,5339
16,Punctum Simple,m-86314cef-9888-437e-becb-fe8553d0f666,3395,5692,3413,5711
16,Quilismapes Simple three,m-03079f92-3718-40e1-9c8f-4680df0fe31d,2721,4936,2835,4995
16,Virga Simple,m-39f54f21-deff-44e9-bb8f-4f480bd48c91,3811,1077,3860,1131
16,Clivis Simple,m-213934cc-8891-462d-94af-c95591c195a0,3960,6318,4002,6379
16,Clivis Episema c,m-b8b5bdfd-d965-46be-9a73-06a6bc7dec50,1770,3536,1847,3612
16,Letter C,m-d2a2efc4-58f1-4701-a00d-f29beb8b8e3f,3617,3848,3645,3883
16,Punctum Simple,m-bfce32db-0890-40ac-8761-d7fee2164306,5546,4573,5566,4590
16,Tractulus Simple,m-3b67eda0-fa60-43e3-a74c-10fca96463fe,4568,2530,4596,2545
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-3a10b7fe-e8bb-4237-9221-6445a664cabd,3421,5896,3478,5963
16,Punctum Simple,m-8c6f32a1-17ca-4a46-842d-824f6eb977ab,2458,2893,2477,2909
16,Tractulus Episema,m-098d7ce8-8232-4b08-9b71-8f7801c4f801,5294,4633,5329,4651
16,Punctum Simple,m-70cfb437-4ec9-4dd9-a534-52f98c8538d3,4612,4310,4631,4326
16,Pes Quassus,m-999983a7-cf47-4cc3-92ef-dab83aba4e87,4000,2839,4100,2917
16,Torculus gedreht a (nicht kurrent),m-5bd5c6cb-5baa-43db-9620-1e09e00e7e71,4092,3865,4192,3943
16,Punctum Simple,m-89d86787-5c5b-40dc-8b18-aabb8acbdaa6,4050,5727,4068,5746
16,Clivis Simple,m-67f18ce0-3927-475b-a125-32a4b8f6314d,3784,3551,3829,3608
16,Tractulus Simple,m-6f6a2d0e-9214-4ee7-a891-ecee38e69955,3851,6021,3889,6033
16,Clivis Simple,m-5ecd62b4-b163-4556-95bc-8ddbac8232b1,1989,694,2041,753
